date,hour,bdaddr
2022-06-14,9,17490
2022-06-14,10,19428
2022-06-14,11,23340
2022-06-14,12,25186
2022-06-14,13,21809
2022-06-14,14,20358
2022-06-14,15,19096
2022-06-14,16,19413
2022-06-14,17,22244
2022-06-14,18,22052
2022-06-14,19,20631
2022-06-14,20,15390
2022-06-14,21,11977
2022-06-14,22,8958
2022-06-14,23,6865
2022-06-15,0,4355
2022-06-15,1,4033
2022-06-15,2,3845
2022-06-15,3,3640
2022-06-15,4,3240
2022-06-15,5,3795
2022-06-15,6,5054
2022-06-15,7,11425
2022-06-15,8,16293
2022-06-15,9,15637
2022-06-15,10,18471
2022-06-15,11,20687
2022-06-15,12,28305
2022-06-15,13,23745
2022-06-15,14,22295
2022-06-15,15,22389
2022-06-15,16,23911
2022-06-15,17,26715
2022-06-15,18,25493
2022-06-15,19,23005
2022-06-15,20,16287
2022-06-15,21,11845
2022-06-15,22,9648
2022-06-15,23,7236
2022-06-16,0,6081
2022-06-16,1,5239
2022-06-16,2,4660
2022-06-16,3,4949
2022-06-16,4,4137
2022-06-16,5,5063
2022-06-16,6,6524
2022-06-16,7,12798
2022-06-16,8,19168
2022-06-16,9,21928
2022-06-16,10,25279
2022-06-16,11,27329
2022-06-16,12,28350
2022-06-16,13,26149
2022-06-16,14,27154
2022-06-16,15,26584
2022-06-16,16,28338
2022-06-16,17,28441
2022-06-16,18,28081
2022-06-16,19,22964
2022-06-16,20,19672
2022-06-16,21,14427
2022-06-16,22,10102
2022-06-16,23,8044
2022-06-17,0,6338
2022-06-17,1,5908
2022-06-17,2,5409
2022-06-17,3,5268
2022-06-17,4,4496
2022-06-17,5,5425
2022-06-17,6,6698
2022-06-17,7,11540
2022-06-17,8,17452
2022-06-17,9,17875
2022-06-17,10,21245
2022-06-17,11,24644
2022-06-17,12,27867
2022-06-17,13,26668
2022-06-17,14,26311
2022-06-17,15,26752
2022-06-17,16,24779
2022-06-17,17,26863
2022-06-17,18,25511
2022-06-17,19,23697
2022-06-17,20,15133
2022-06-17,21,12701
2022-06-17,22,10773
2022-06-17,23,9036
2022-06-18,0,6722
2022-06-18,1,5930
2022-06-18,2,5250
2022-06-18,3,4976
2022-06-18,4,4111
2022-06-18,5,5494
2022-06-18,6,5432
2022-06-18,7,7444
2022-06-18,8,11230
2022-06-18,9,17271
2022-06-18,10,23983
2022-06-18,11,25066
2022-06-18,12,27176
2022-06-18,13,29060
2022-06-18,14,27578
2022-06-18,15,29022
2022-06-18,16,28833
2022-06-18,17,26645
2022-06-18,18,25542
2022-06-18,19,21477
2022-06-18,20,17360
2022-06-18,21,15365
2022-06-18,22,10684
2022-06-18,23,9890
2022-06-19,0,7584
2022-06-19,1,6627
2022-06-19,2,6243
2022-06-19,3,5751
2022-06-19,4,5274
2022-06-19,5,5845
2022-06-19,6,6047
2022-06-19,7,7181
2022-06-19,8,10231
2022-06-19,9,17264
2022-06-19,10,26059
2022-06-19,11,29235
2022-06-19,12,30138
2022-06-19,13,29226
2022-06-19,14,31019
2022-06-19,15,29949
2022-06-19,16,29595
